AFIELD                   BOX-NAMe                  File: BOX              Offset:   0       Length:  16
AFIELD  COMBAT-OV        _ves_laser_hit            File: VESSEL           Offset:  18       Length:   1
AFIELD  COMM-OV          _ves_laser_hit-class      File: VESSEL           Offset:  18       Length:   3
AFIELD  COMBAT-OV        _ves_laser-class          File: VESSEL           Offset:  19       Length:   1
AFIELD  DAMAGE-OV        _ves_laser-class          File: VESSEL           Offset:  19       Length:   1
AFIELD  COMBAT-OV        _ves_missle-class         File: VESSEL           Offset:  20       Length:   1
AFIELD  DAMAGE-OV        _ves_elements-debris      File: VESSEL           Offset:  21       Length:   7
AFIELD  SCIENCE          _ves_plasma-class         File: VESSEL           Offset:  21       Length:   1
AFIELD  SCIENCE          _ves_endurium-debris      File: VESSEL           Offset:  24       Length:   1
AFIELD  ICONP-OV         _ves_directional          File: VESSEL           Offset:  28       Length:   1
AFIELD  SCIENCE          _ves_sensor-data          File: VESSEL           Offset:  29       Length:  42
AFIELD  ANALYZE-OV       ELEM-NAme                 File: ELEMENT          Offset:   0       Length:  16
AFIELD  SENT-OV          ELEM-NAme                 File: ELEMENT          Offset:   0       Length:  16
AFIELD                   ELEM-NAme                 File: ELEMENT          Offset:   0       Length:  16
AFIELD                   ELEM-VA_                  File: ELEMENT          Offset:  16       Length:   2
AFIELD                   ORIG-NA__                 File: MESSAGE          Offset:   0       Length:  16
AFIELD                   ART-NAMe                  File: ARTIFACT         Offset:   0       Length:  24
AFIELD  SENT-OV          _art_analyze_text_id      File: ARTIFACT         Offset:  24       Length:   1
AFIELD  ITEMS-OV         _art_analyze_text_id      File: ARTIFACT         Offset:  24       Length:   1
AFIELD  TDEPOT-OV        _art_analyze_text_id      File: ARTIFACT         Offset:  24       Length:   1
AFIELD  CAPTAIN          _art_analyze_text_id      File: ARTIFACT         Offset:  24       Length:   1
AFIELD                   ART-VOL                   File: ARTIFACT         Offset:  25       Length:   2
AFIELD                   ART-VAL                   File: ARTIFACT         Offset:  27       Length:   2
AFIELD  ITEMS-OV         _art_analyzed             File: ARTIFACT         Offset:  29       Length:   1
AFIELD  TDEPOT-OV        _art_analyzed             File: ARTIFACT         Offset:  29       Length:   1
AFIELD  SENT-OV          _art_analyzed             File: ARTIFACT         Offset:  29       Length:   1
AFIELD  IT-OV            _art_analyzed             File: ARTIFACT         Offset:  29       Length:   1
AFIELD  CAPTAIN          _art_analyzed             File: ARTIFACT         Offset:  29       Length:   1
AFIELD  VITA-OV          _p-mass_type              File: PLANET           Offset:   0       Length:   1
AFIELD  PLSET-OV         _p-mass_type              File: PLANET           Offset:   0       Length:   1
AFIELD  MAPS-OV          _p-surface                File: PLANET           Offset:   1       Length:   1
AFIELD  ICONP-OV         _p-surface                File: PLANET           Offset:   1       Length:   1
AFIELD  PLSET-OV         _p-surface                File: PLANET           Offset:   1       Length:   1
AFIELD  HYPERMSG-OV      _p-surface                File: PLANET           Offset:   1       Length:   1
AFIELD  ANALYZE-OV       _p-surface                File: PLANET           Offset:   1       Length:   1
AFIELD  HYPER-OV         _p-surface                File: PLANET           Offset:   1       Length:   1
AFIELD  STORM-OV         _p-surface                File: PLANET           Offset:   1       Length:   1
AFIELD  CAPTAIN          _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  HP-OV            _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  SCIENCE          _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  ORBIT-OV         _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  LAND-OV          _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  VITA-OV          _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  ANALYZE-OV       _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  MAPS-OV          _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  PLSET-OV         _p-mass                   File: PLANET           Offset:   2       Length:   2
AFIELD  SCIENCE          P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  HP-OV            P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  VITA-OV          P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  CAPTAIN          P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  PLSET-OV         P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  ANALYZE-OV       P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  HYPERMSG-OV      P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  MAPS-OV          P-LSEED                   File: PLANET           Offset:   4       Length:   1
AFIELD  VITA-OV          _p-region_seed            File: PLANET           Offset:   5       Length:   2
AFIELD  MOVE-OV          _p-global_seed            File: PLANET           Offset:   7       Length:   2
AFIELD  HYPERMSG-OV      _p-global_seed            File: PLANET           Offset:   7       Length:   2
AFIELD  CAPTAIN          _p-global_seed            File: PLANET           Offset:   7       Length:   2
AFIELD  VITA-OV          _p-mineral_densty         File: PLANET           Offset:   9       Length:   1
AFIELD  PLSET-OV         _p-mineral_densty         File: PLANET           Offset:   9       Length:   1
AFIELD  CAPTAIN          _p-mineral_densty         File: PLANET           Offset:   9       Length:   1
AFIELD  SEED-OV          _p-mineral_densty         File: PLANET           Offset:   9       Length:   1
AFIELD  SCIENCE          _p-mineral_densty         File: PLANET           Offset:   9       Length:   1
AFIELD  SEED-OV          _p-seed4                  File: PLANET           Offset:  10       Length:   1
AFIELD  SEED-OV          _p-seed5                  File: PLANET           Offset:  11       Length:   1
AFIELD  MAPS-OV          _p-element1               File: PLANET           Offset:  12       Length:   1
AFIELD  SEED-OV          _p-element1               File: PLANET           Offset:  12       Length:   1
AFIELD  VITA-OV          _p-element1               File: PLANET           Offset:  12       Length:   1
AFIELD  SCIENCE          _p-element1               File: PLANET           Offset:  12       Length:   1
AFIELD  PLSET-OV         _p-element1               File: PLANET           Offset:  12       Length:   1
AFIELD  SEED-OV          _p-element2               File: PLANET           Offset:  13       Length:   1
AFIELD  VITA-OV          _p-element2               File: PLANET           Offset:  13       Length:   1
AFIELD  PLSET-OV         _p-element2               File: PLANET           Offset:  13       Length:   1
AFIELD  SEED-OV          _p-element3               File: PLANET           Offset:  14       Length:   1
AFIELD  VITA-OV          _p-element3               File: PLANET           Offset:  14       Length:   1
AFIELD  PLSET-OV         _p-element3               File: PLANET           Offset:  14       Length:   1
AFIELD  MAPS-OV          _p-temp-low               File: PLANET           Offset:  15       Length:   1
AFIELD  CAPTAIN          _p-temp-low               File: PLANET           Offset:  15       Length:   2
AFIELD  PLSET-OV         _p-temp-low               File: PLANET           Offset:  15       Length:   1
AFIELD  ANALYZE-OV       _p-temp-low               File: PLANET           Offset:  15       Length:   1
AFIELD  SEED-OV          _p-temp-low               File: PLANET           Offset:  15       Length:   1
AFIELD  VITA-OV          _p-temp-low               File: PLANET           Offset:  15       Length:   1
AFIELD  VITA-OV          _p-temp-high              File: PLANET           Offset:  16       Length:   1
AFIELD  CAPTAIN          _p-temp-high              File: PLANET           Offset:  16       Length:   1
AFIELD  SEED-OV          _p-temp-high              File: PLANET           Offset:  16       Length:   1
AFIELD  PLSET-OV         _p-temp-high              File: PLANET           Offset:  16       Length:   1
AFIELD  MAPS-OV          _p-temp-high              File: PLANET           Offset:  16       Length:   1
AFIELD  ANALYZE-OV       _p-temp-high              File: PLANET           Offset:  16       Length:   1
AFIELD  ANALYZE-OV       ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   2
AFIELD  VITA-OV          ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   2
AFIELD  STORM-OV         ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   2
AFIELD  CAPTAIN          ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   2
AFIELD  MOVE-OV          ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   2
AFIELD  PLSET-OV         ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   2
AFIELD  BEHAV-OV         ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   1
AFIELD  MAPS-OV          ATMO.ACTIVity             File: PLANET           Offset:  17       Length:   2
AFIELD  PLSET-OV         _p-atom.density           File: PLANET           Offset:  19       Length:   1
AFIELD  ANALYZE-OV       _p-atom.density           File: PLANET           Offset:  19       Length:   1
AFIELD  HP-OV            _p-atom.density           File: PLANET           Offset:  19       Length:   1
AFIELD  VITA-OV          _p-atom.density           File: PLANET           Offset:  19       Length:   1
AFIELD  MAPS-OV          _p-atom.density           File: PLANET           Offset:  19       Length:   1
AFIELD  LP-OV            _p-atom.density           File: PLANET           Offset:  19       Length:   1
AFIELD  PLSET-OV         _p-shape_max              File: PLANET           Offset:  20       Length:   1
AFIELD  VITA-OV          _p-shape_max              File: PLANET           Offset:  20       Length:   1
AFIELD  HP-OV            _p-shape_max              File: PLANET           Offset:  20       Length:   3
AFIELD  LP-OV            _p-shape_max              File: PLANET           Offset:  20       Length:   3
AFIELD  VITA-OV          _p-shape_min              File: PLANET           Offset:  21       Length:   1
AFIELD  LP-OV            _p-shape_min              File: PLANET           Offset:  21       Length:   2
AFIELD  HP-OV            _p-shape_min              File: PLANET           Offset:  21       Length:   2
AFIELD  PLSET-OV         _p-shape_min              File: PLANET           Offset:  21       Length:   1
AFIELD                   SPEC-NAme                 File: SPECIMEN         Offset:   0       Length:  16
AFIELD                   BD-NAME                   File: BIO-DATA         Offset:   0       Length:  16
AFIELD  CAPTAIN          _analyze_text             File: ANALYZE-TEXT     Offset:   0       Length: 190
AFIELD  TDEPOT-OV        _analyze_text             File: ANALYZE-TEXT     Offset:   0       Length: 190
AFIELD                   1BTN                      File: BUTTONS          Offset:   0       Length:  12
AFIELD  NAVIGATR         _3btn                     File: BUTTONS          Offset:  24       Length:  12
AFIELD  NAVIGATR         _4btn                     File: BUTTONS          Offset:  36       Length:  12
AFIELD                   #BTN                      File: BUTTONS          Offset:  72       Length:   1
AFIELD  VITA-OV          _r-seed-adjust            File: REGIONS          Offset:   2       Length:   2
AFIELD  MAPS-OV          _r-name                   File: REGIONS          Offset:   4       Length:   3
AFIELD  VITA-OV          [A-REGIONS:7-15]          File: REGIONS          Offset:   7       Length:   8
AFIELD  PLSET-OV         [A-REGIONS:7-15]          File: REGIONS          Offset:   7       Length:   8
AFIELD  MAPS-OV          [A-REGIONS:7-15]          File: REGIONS          Offset:   7       Length:   8
AFIELD  VITA-OV          [A-REGIONS:15-16]         File: REGIONS          Offset:  15       Length:   1
AFIELD  VITA-OV          [A-REGIONS:15-16]         File: REGIONS          Offset:  15       Length:   1
AFIELD  VITA-OV          [A-REGIONS:16-17]         File: REGIONS          Offset:  16       Length:   1
AFIELD  VITA-OV          [A-REGIONS:16-17]         File: REGIONS          Offset:  16       Length:   1
AFIELD  VITA-OV          [A-REGIONS:17-18]         File: REGIONS          Offset:  17       Length:   1
AFIELD  VITA-OV          [A-REGIONS:17-18]         File: REGIONS          Offset:  17       Length:   1
AFIELD  VITA-OV          [A-REGIONS:18-19]         File: REGIONS          Offset:  18       Length:   1
AFIELD  VITA-OV          [A-REGIONS:18-19]         File: REGIONS          Offset:  18       Length:   1
AFIELD  VITA-OV          [A-REGIONS:19-27]         File: REGIONS          Offset:  19       Length:   8
AFIELD  VITA-OV          [A-REGIONS:27-28]         File: REGIONS          Offset:  27       Length:   1
AFIELD  SEED-OV          [A-REGIONS:27-28]         File: REGIONS          Offset:  27       Length:   1
AFIELD  HP-OV            [A-CREATURE:0-2]          File: CREATURE         Offset:   0       Length:   2
AFIELD  VITA-OV          [A-CREATURE:0-2]          File: CREATURE         Offset:   0       Length:   2
AFIELD  VITA-OV          [A-CREATURE:2-4]          File: CREATURE         Offset:   2       Length:   2
AFIELD  SEED-OV          [A-CREATURE:2-4]          File: CREATURE         Offset:   2       Length:   2
AFIELD  HP-OV            [A-CREATURE:2-4]          File: CREATURE         Offset:   2       Length:   2
AFIELD  SEED-OV          SHAPE                     File: CREATURE         Offset:   4       Length:   3
AFIELD  HP-OV            SHAPE                     File: CREATURE         Offset:   4       Length:   3
AFIELD  LP-OV            SHAPE                     File: CREATURE         Offset:   4       Length:   3
AFIELD                   SHAPE                     File: CREATURE         Offset:   4       Length:   3
AFIELD  HP-OV            [A-CREATURE:7-10]         File: CREATURE         Offset:   7       Length:   3
AFIELD  LP-OV            [A-CREATURE:7-10]         File: CREATURE         Offset:   7       Length:   3
AFIELD  SENT-OV          [A-CREATURE:7-10]         File: CREATURE         Offset:   7       Length:   3
AFIELD  SEED-OV          [A-CREATURE:7-10]         File: CREATURE         Offset:   7       Length:   3
AFIELD  VITA-OV          [A-CREATURE:10-11]        File: CREATURE         Offset:  10       Length:   1
AFIELD  SEED-OV          [A-CREATURE:10-11]        File: CREATURE         Offset:  10       Length:   1
AFIELD  BEHAV-OV         [A-CREATURE:11-12]        File: CREATURE         Offset:  11       Length:   1
AFIELD  LP-OV            [A-CREATURE:11-12]        File: CREATURE         Offset:  11       Length:   1
AFIELD  ITEMS-OV         [A-CREATURE:11-12]        File: CREATURE         Offset:  11       Length:   1
AFIELD  SENT-OV          [A-CREATURE:11-12]        File: CREATURE         Offset:  11       Length:   1
AFIELD  SEED-OV          [A-CREATURE:11-12]        File: CREATURE         Offset:  11       Length:   1
AFIELD  HP-OV            [A-CREATURE:11-12]        File: CREATURE         Offset:  11       Length:   1
AFIELD  HP-OV            [A-CREATURE:12-13]        File: CREATURE         Offset:  12       Length:   1
AFIELD  BEHAV-OV         [A-CREATURE:12-13]        File: CREATURE         Offset:  12       Length:   1
AFIELD  LP-OV            [A-CREATURE:12-13]        File: CREATURE         Offset:  12       Length:   1
AFIELD  VITA-OV          [A-CREATURE:12-13]        File: CREATURE         Offset:  12       Length:   1
AFIELD  ITEMS-OV         [A-CREATURE:12-13]        File: CREATURE         Offset:  12       Length:   1
AFIELD  SENT-OV          [A-CREATURE:12-13]        File: CREATURE         Offset:  12       Length:   1
AFIELD  SEED-OV          [A-CREATURE:13-16]        File: CREATURE         Offset:  13       Length:   3
AFIELD  HP-OV            [A-CREATURE:13-16]        File: CREATURE         Offset:  13       Length:   3
AFIELD  SENT-OV          [A-CREATURE:13-16]        File: CREATURE         Offset:  13       Length:   3
AFIELD  LP-OV            [A-CREATURE:13-16]        File: CREATURE         Offset:  13       Length:   3
AFIELD  SEED-OV          [A-CREATURE:16-19]        File: CREATURE         Offset:  16       Length:   3
AFIELD  LP-OV            [A-CREATURE:16-19]        File: CREATURE         Offset:  16       Length:   3
AFIELD  HP-OV            [A-CREATURE:16-19]        File: CREATURE         Offset:  16       Length:   3
AFIELD  SENT-OV          [A-CREATURE:16-19]        File: CREATURE         Offset:  16       Length:   3
AFIELD  LP-OV            [A-CREATURE:19-22]        File: CREATURE         Offset:  19       Length:   3
AFIELD  SENT-OV          [A-CREATURE:19-22]        File: CREATURE         Offset:  19       Length:   3
AFIELD  SEED-OV          [A-CREATURE:19-22]        File: CREATURE         Offset:  19       Length:   3
AFIELD  HP-OV            [A-CREATURE:19-22]        File: CREATURE         Offset:  19       Length:   3
AFIELD  HP-OV            [A-CREATURE:22-25]        File: CREATURE         Offset:  22       Length:   3
AFIELD  LP-OV            [A-CREATURE:22-25]        File: CREATURE         Offset:  22       Length:   3
AFIELD  SENT-OV          [A-CREATURE:22-25]        File: CREATURE         Offset:  22       Length:   3
AFIELD  SEED-OV          [A-CREATURE:22-25]        File: CREATURE         Offset:  22       Length:   3
AFIELD  HP-OV            [A-CREATURE:25-26]        File: CREATURE         Offset:  25       Length:   1
AFIELD  SEED-OV          [A-CREATURE:25-26]        File: CREATURE         Offset:  25       Length:   1
AFIELD  SENT-OV          [A-CREATURE:25-26]        File: CREATURE         Offset:  25       Length:   1
AFIELD  LP-OV            [A-CREATURE:25-26]        File: CREATURE         Offset:  25       Length:   1
AFIELD  SEED-OV          [A-CREATURE:26-29]        File: CREATURE         Offset:  26       Length:   3
AFIELD  SENT-OV          [A-CREATURE:26-29]        File: CREATURE         Offset:  26       Length:   3
AFIELD  LP-OV            [A-CREATURE:26-29]        File: CREATURE         Offset:  26       Length:   3
AFIELD  HP-OV            [A-CREATURE:26-29]        File: CREATURE         Offset:  26       Length:   3
AFIELD  HP-OV            [A-CREATURE:29-30]        File: CREATURE         Offset:  29       Length:   1
AFIELD  SEED-OV          [A-CREATURE:29-30]        File: CREATURE         Offset:  29       Length:   1
AFIELD  SENT-OV          [A-CREATURE:29-30]        File: CREATURE         Offset:  29       Length:   1
AFIELD  LP-OV            [A-CREATURE:29-30]        File: CREATURE         Offset:  29       Length:   1
AFIELD  SEED-OV          [A-CREATURE:30-33]        File: CREATURE         Offset:  30       Length:   3
AFIELD  HP-OV            [A-CREATURE:30-33]        File: CREATURE         Offset:  30       Length:   3
AFIELD  SENT-OV          [A-CREATURE:30-33]        File: CREATURE         Offset:  30       Length:   3
AFIELD  LP-OV            [A-CREATURE:30-33]        File: CREATURE         Offset:  30       Length:   3
AFIELD  SEED-OV          [A-CREATURE:33-34]        File: CREATURE         Offset:  33       Length:   1
AFIELD  SENT-OV          [A-CREATURE:33-34]        File: CREATURE         Offset:  33       Length:   1
AFIELD  HP-OV            [A-CREATURE:33-34]        File: CREATURE         Offset:  33       Length:   1
AFIELD  LP-OV            [A-CREATURE:33-34]        File: CREATURE         Offset:  33       Length:   1
AFIELD  LP-OV            [A-CREATURE:34-37]        File: CREATURE         Offset:  34       Length:   3
AFIELD  SEED-OV          [A-CREATURE:34-37]        File: CREATURE         Offset:  34       Length:   3
AFIELD  SENT-OV          [A-CREATURE:34-37]        File: CREATURE         Offset:  34       Length:   3
AFIELD  HP-OV            [A-CREATURE:34-37]        File: CREATURE         Offset:  34       Length:   3
AFIELD  SENT-OV          [A-CREATURE:37-38]        File: CREATURE         Offset:  37       Length:   1
AFIELD  SEED-OV          [A-CREATURE:37-38]        File: CREATURE         Offset:  37       Length:   1
AFIELD  HP-OV            [A-CREATURE:37-38]        File: CREATURE         Offset:  37       Length:   1
AFIELD  LP-OV            [A-CREATURE:37-38]        File: CREATURE         Offset:  37       Length:   1
AFIELD  SENT-OV          [A-CREATURE:38-41]        File: CREATURE         Offset:  38       Length:   3
AFIELD  LP-OV            [A-CREATURE:38-41]        File: CREATURE         Offset:  38       Length:   3
AFIELD  SEED-OV          [A-CREATURE:38-41]        File: CREATURE         Offset:  38       Length:   3
AFIELD  HP-OV            [A-CREATURE:38-41]        File: CREATURE         Offset:  38       Length:   3
AFIELD  SENT-OV          [A-CREATURE:41-44]        File: CREATURE         Offset:  41       Length:   3
AFIELD  LP-OV            [A-CREATURE:41-44]        File: CREATURE         Offset:  41       Length:   3
AFIELD  BEHAV-OV         [A-CREATURE:41-44]        File: CREATURE         Offset:  41       Length:   3
AFIELD  HP-OV            [A-CREATURE:41-44]        File: CREATURE         Offset:  41       Length:   3
AFIELD  SEED-OV          [A-CREATURE:41-44]        File: CREATURE         Offset:  41       Length:   3
AFIELD  HP-OV            [A-CREATURE:44-46]        File: CREATURE         Offset:  44       Length:   2
AFIELD  VITA-OV          [A-CREATURE:44-46]        File: CREATURE         Offset:  44       Length:   2
AFIELD  SEED-OV          [A-CREATURE:46-48]        File: CREATURE         Offset:  46       Length:   2
AFIELD  HP-OV            [A-CREATURE:46-48]        File: CREATURE         Offset:  46       Length:   2
AFIELD  VITA-OV          [A-CREATURE:46-48]        File: CREATURE         Offset:  46       Length:   2
AFIELD  BEHAV-OV         [A-CREATURE:48-49]        File: CREATURE         Offset:  48       Length:   1
AFIELD  LP-OV            [A-CREATURE:48-49]        File: CREATURE         Offset:  48       Length:   1
AFIELD  SENT-OV          [A-CREATURE:48-49]        File: CREATURE         Offset:  48       Length:   1
AFIELD  LP-OV            [A-CREATURE:49-50]        File: CREATURE         Offset:  49       Length:   1
AFIELD  SENT-OV          [A-CREATURE:49-50]        File: CREATURE         Offset:  49       Length:   1
AFIELD  SENT-OV          [A-CREATURE:50-51]        File: CREATURE         Offset:  50       Length:   1
AFIELD  ITEMS-OV         STUN.EFFECt               File: CREATURE         Offset:  51       Length:   1
AFIELD  LP-OV            STUN.EFFECt               File: CREATURE         Offset:  51       Length:   1
AFIELD  SENT-OV          STUN.EFFECt               File: CREATURE         Offset:  51       Length:   1
AFIELD  SEED-OV          STUN.EFFECt               File: CREATURE         Offset:  51       Length:   1
AFIELD  BEHAV-OV         STUN.EFFECt               File: CREATURE         Offset:  51       Length:   1
AFIELD  LP-OV            [A-CREATURE:52-53]        File: CREATURE         Offset:  52       Length:   1
AFIELD  SEED-OV          [A-CREATURE:52-53]        File: CREATURE         Offset:  52       Length:   1
AFIELD  BEHAV-OV         HIT.POINTS                File: CREATURE         Offset:  52       Length:   1
AFIELD  ITEMS-OV         [A-CREATURE:54-55]        File: CREATURE         Offset:  54       Length:   1
AFIELD  LP-OV            [A-CREATURE:54-55]        File: CREATURE         Offset:  54       Length:   1
AFIELD  SENT-OV          [A-CREATURE:54-55]        File: CREATURE         Offset:  54       Length:   1
AFIELD  BEHAV-OV         [A-CREATURE:54-55]        File: CREATURE         Offset:  54       Length:   1
AFIELD  SENT-OV          [A-CREATURE:55-56]        File: CREATURE         Offset:  55       Length:   1
AFIELD  LP-OV            [A-CREATURE:55-56]        File: CREATURE         Offset:  55       Length:   1
AFIELD  SEED-OV          [A-CREATURE:55-56]        File: CREATURE         Offset:  55       Length:   1
AFIELD  BEHAV-OV         [A-CREATURE:55-56]        File: CREATURE         Offset:  55       Length:   1
AFIELD  SENT-OV          [A-CREATURE:56-58]        File: CREATURE         Offset:  56       Length:   2
AFIELD  LP-OV            [A-CREATURE:56-58]        File: CREATURE         Offset:  56       Length:   2
AFIELD  ITEMS-OV         [A-CREATURE:58-60]        File: CREATURE         Offset:  58       Length:   2
AFIELD  SEED-OV          [A-CREATURE:58-60]        File: CREATURE         Offset:  58       Length:   2
AFIELD  SENT-OV          [A-CREATURE:58-60]        File: CREATURE         Offset:  58       Length:   2
AFIELD  LP-OV            [A-CREATURE:58-60]        File: CREATURE         Offset:  58       Length:   2
AFIELD  LP-OV            [A-CREATURE:60-62]        File: CREATURE         Offset:  60       Length:   2
AFIELD  SENT-OV          [A-CREATURE:60-62]        File: CREATURE         Offset:  60       Length:   2
AFIELD  LP-OV            [A-CREATURE:63-66]        File: CREATURE         Offset:  63       Length:   3
AFIELD  SENT-OV          [A-CREATURE:63-66]        File: CREATURE         Offset:  63       Length:   3
AFIELD  LP-OV            [A-CREATURE:66-69]        File: CREATURE         Offset:  66       Length:   3
AFIELD  SENT-OV          [A-CREATURE:66-69]        File: CREATURE         Offset:  66       Length:   3
AFIELD  LP-OV            [A-CREATURE:69-72]        File: CREATURE         Offset:  69       Length:   3
AFIELD  SENT-OV          [A-CREATURE:69-72]        File: CREATURE         Offset:  69       Length:   3
AFIELD  LP-OV            [A-CREATURE:72-75]        File: CREATURE         Offset:  72       Length:   3
AFIELD  SENT-OV          [A-CREATURE:72-75]        File: CREATURE         Offset:  72       Length:   3
AFIELD  LP-OV            [A-CREATURE:75-78]        File: CREATURE         Offset:  75       Length:   3
AFIELD  SENT-OV          [A-CREATURE:75-78]        File: CREATURE         Offset:  75       Length:   3
AFIELD  LP-OV            [A-CREATURE:78-81]        File: CREATURE         Offset:  78       Length:   3
AFIELD  SENT-OV          [A-CREATURE:78-81]        File: CREATURE         Offset:  78       Length:   3
AFIELD  SENT-OV          [A-CREATURE:81-84]        File: CREATURE         Offset:  81       Length:   3
AFIELD  LP-OV            [A-CREATURE:81-84]        File: CREATURE         Offset:  81       Length:   3
AFIELD  LP-OV            [A-CREATURE:84-87]        File: CREATURE         Offset:  84       Length:   3
AFIELD  SENT-OV          [A-CREATURE:84-87]        File: CREATURE         Offset:  84       Length:   3
AFIELD  LP-OV            [A-CREATURE:87-90]        File: CREATURE         Offset:  87       Length:   3
AFIELD  SENT-OV          [A-CREATURE:87-90]        File: CREATURE         Offset:  87       Length:   3
AFIELD  LP-OV            [A-CREATURE:90-93]        File: CREATURE         Offset:  90       Length:   3
AFIELD  SENT-OV          [A-CREATURE:90-93]        File: CREATURE         Offset:  90       Length:   3
AFIELD  LP-OV            [A-CREATURE:93-96]        File: CREATURE         Offset:  93       Length:   3
AFIELD  SENT-OV          [A-CREATURE:93-96]        File: CREATURE         Offset:  93       Length:   3
AFIELD  LP-OV            [A-CREATURE:96-99]        File: CREATURE         Offset:  96       Length:   3
AFIELD  SENT-OV          [A-CREATURE:96-99]        File: CREATURE         Offset:  96       Length:   3
