 ID  NAME         Disk     Recs      Len  InstLen   Start   End
 75  GPOLY           2       89        4        0    7109   711F
 76  FACET           2       72        4        0    7120   7131
 77  VERTEX          2      134        3        0    7132   714B
 78  BLT-OV          2       54       16        0    714C   7181
 79  MISC-OV         2       90       16        0    7182   71DB
 80  BANK-OV         2       95       16        0    71DC   723A
 81  ASSCREW-OV      2      175       16        0    723B   72E9
 82  PERSONNEL-OV    2      262       16        0    72EA   73EF
 83  SHIPGRPH-OV     2      132       16        0    73F0   7473
 84  CONFIG-OV       2      192       16        0    7474   7533
 85  TDEPOT-OV       2      300       16        0    7534   765F
 86  EDIT-OV         0        0        0        0    0000   0000
 87  PORTMENU-OV     2      195       16        0    7660   7722
 88  VITA-OV         2      222       16        0    7723   7800
 89  HP-OV           2      302       16        0    7801   792E
 90  LP-OV           2      330       16        0    792F   7A78
 91  SENT-OV         2      299       16        0    7A79   7BA3
 92  TV-OV           2      217       16        0    7BA4   7C7C
 93  COMM-OV         2      452       16        0    7C7D   7E40
 94  COMMSPEC-OV     2      179       16        0    7E41   7EF3
 95  SEED-OV         2      150       16        0    7EF4   7F89
 96  LISTICONS       2       45       16        0    7F8A   7FB6
 97  MOVE-OV         2      238       16        0    7FB7   80A4
 98  ENGINEER        2      145       16        0    80A5   8135
 99  DOCTOR          2       80       16        0    8136   8185
100  ORBIT-OV        2      415       16        0    8186   8324
101  CAPTAIN         2      372       16        0    8325   8498
102  SCIENCE         2      247       16        0    8499   858F
103  NAVIGATR        2       55       16        0    8590   85C6
104  SHIPBUTTONS     2      124       16        0    85C7   8642
105  *MAP-OV         2      260       16        0    8643   8746
106  HYPER-OV        2      448       16        0    8747   8906
107  ANALYZE-OV      2      160       16        0    8907   89A6
108  LAUNCH-OV       2       85       16        0    89A7   89FB
109  FLUX-EFFECT     2       29       16        0    89FC   8A18
110  OP-OV           2      275       16        0    8A19   8B2B
111  ITEMS-OV        2      376       16        0    8B2C   8CA3
112  LSYSICON        2       47       16        0    8CA4   8CD2
113  MSYSICON        2       28       16        0    8CD3   8CEE
114  SSYSICON        2       11       16        0    8CEF   8CF9
115  BEHAV-OV        2      335       16        0    8CFA   8E48
116  CMAP            2       15       64        0    8E49   8E87
117  INSTALL         2       50       16        0    8E88   8EB9
118  HEAL-OV         2       77       16        0    8EBA   8F06
119  REPAIR-OV       2      106       16        0    8F07   8F70
120  GAME-OV         2      370       16        0    8F71   90E2
121  PLSET-OV        2      150       16        0    90E3   9178
122  MAPS-OV         2      140       16        0    9179   9204
123  VES-BLT         3      283       16        0    9240   935A
124  STORM-OV        2       77       16        0    935B   93A7
125  HUM-PIC         1       30       16        0    0E80   0E9D
126  VEL-PIC         1       27       16        0    0E9E   0EB8
127  THR-PIC         1       17       16        0    0EB9   0EC9
128  ELO-PIC         1       38       16        0    0ECA   0EEF
129  AND-PIC         1       40       16        0    0EF0   0F17
130  COMPOUNDS       2       23        7        0    93A8   93B2
131  IT-OV           2      121       16        0    93B3   942B
132  COMBAT-OV       2      387       16        0    942C   95AE
133  DAMAGE-OV       2      172       16        0    95AF   965A
134  LAND-OV         2       68       16        0    965B   969E
135  PSTATS          2        5       11        0    969F   96A2
136  SAVE            4     7750       16        0    0F40   2D85
137  MUSIC           1      310       16        0    2D86   2EBB
138  EARTH           1       72       16        0    2EBC   2F03
139  STP-OV          2       90       16        0    96A3   96FC
140  GALAXY          1      394       16        0    2F04   308D
141  CREDITS         1     1024       16        0    308E   348D
142  COP-CPIC        1      183       16        0    348E   3544
143  FONTS           1       48       16        0    3545   3574
144  CGA             1      225       16        0    3575   3655
145  EGA             1      225       16        0    3656   3736
146  <unused>        0        0        0        0    0000   0000
147  <unused>        0        0        0        0    0000   0000
148  <unused>        0        0        0        0    0000   0000
149  <unused>        0        0        0        0    0000   0000


STARA Signature: 00003E7F Timestamp: 19A4 Checksum: 73F7 SaveFlag: 1 Version: 20C9
STARB Signature: 3E8096FF Timestamp: 19A4 Checksum: 2020 SaveFlag: 1 Version: 20C9
